SampleName,Tag ID,Tag Color,Species,Timepoint,...6,Date,Collection Species,Location,Depth,Notes,File.Name,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,A.reps,B.reps,C.reps,D.reps,A.D,B.D,C.D,qpcrRun,Dominant,propD,logPropD,Reef,Latitude,Longitude
150NI,34,Blue,Pstr,Initial,NA,2019-09-26T00:00:00Z,Pstr,RR4,21,NA,RK_NSF_SYM_Initials_15.csv,NaN,NaN,NaN,33.566200256347656,NA,NA,NA,0.5032158381310942,0,0,0,2,NaN,NaN,NaN,15,D,1,0,Rainbow,25 41.482 N,80 5.830 W
151NI,13,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR4,22,NA,RK_NSF_SYM_Initials_20.csv,36.1317490234375,25.994644165039062,33.1230924987793,NaN,NA,0.5250593696025323,NA,NA,1,2,1,0,NaN,NaN,NaN,20,B,0,-7,Rainbow,25 41.482 N,80 5.830 W
152NI,26,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR1,27,NA,RK_NSF_SYM_Initials_12.csv,NaN,32.544973373413086,28.079952087402344,35.51827621459961,NA,0.6298559911383239,0.3987671809766085,NA,0,2,2,1,NaN,23.559962567996855,22.62309912760045,12,C,0,-7,Rainbow,25 41.594 N,80 5.832 W
153NI,23,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR4,21,NA,RK_NSF_SYM_Initials_12.csv,NaN,NaN,26.580458488464355,34.19241142272949,NA,NA,0.09650347044800002,2.909141374217645,0,0,2,2,NaN,NaN,25.516410333753548,12,C,0.03771249529681133,-1.4235147309785465,Rainbow,25 41.482 N,80 5.830 W
154NI,4,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR4,24,NA,RK_NSF_SYM_Initials_15.csv,35.10559355163574,NaN,32.833476867675785,28.764866828918457,0.19504077921774174,NA,NA,0.00352954568169631,2,0,1,2,0.0370145366196146,NaN,0.007773556444761504,15,A,0.035693363316074554,-1.447412527393404,Rainbow,25 41.482 N,80 5.830 W
155NI,29,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sint,RR4,18,NA,RK_NSF_SYM_Initials_13.csv,29.160497535705566,34.52808952331543,NaN,32.07889366149902,0.022546203729811698,0.5682582034522582,NA,0.40458546911984045,2,2,0,2,22.680155498227357,0.5493382441710525,NaN,13,A,0.042229452423775585,-1.3743845499005594,Rainbow,25 41.482 N,80 5.830 W
156NI,24,Blue,Ssid,Initial,NA,2019-09-26T00:00:00Z,Ssid,RR4,19,NA,RK_NSF_SYM_Initials_20.csv,31.384473670959473,30.32286834716797,30.11252197265625,NaN,1.5719722509224643,0.012569876099889035,0.9381227615940361,NA,2,2,2,0,NaN,NaN,NaN,20,C,0,-7,Rainbow,25 41.482 N,80 5.830 W
157NI,30,Blue,Sint,Initial,NA,2019-09-26T00:00:00Z,Sbou,RR4,22,NA,RK_NSF_SYM_Initials_15.csv,30.414970268249512,NaN,33.0271566772461,NaN,0.8015952951009387,NA,0.6011044226085562,NA,2,0,2,0,NaN,NaN,NaN,15,A,0,-7,Rainbow,25 41.482 N,80 5.830 W
158NI,7,Blue,Ppor,Initial,NA,2019-09-26T00:00:00Z,Ppor,RR4,21,NA,RK_NSF_SYM_Initials_20.csv,36.42403112792969,30.928630828857422,29.367481079101562,NaN,3.479546706720442,2.184471832669214,0.4709279804238685,NA,2,2,2,0,NaN,NaN,NaN,20,C,0,-7,Rainbow,25 41.482 N,80 5.830 W
159NI,51,Blue,Ofav,Initial,NA,2019-09-26T00:00:00Z,Ofav,RR4,21,NA,RK_NSF_SYM_Initials_15.csv,NaN,34.30528259277344,32.89584335327149,36.54977035522461,NA,0.3463297579332946,NA,NA,0,2,1,1,NaN,14.216064855815775,1.6418559390205272,15,B,0,-7,Rainbow,25 41.482 N,80 5.830 W
