* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-08-16 09:22:17 AM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\Power Up SYBR_33.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-08-14 16:39:05 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	DRNMIN	NOAMP	BADROX	CTFAIL	Tm1	Tm2	Tm3	Tm4
40	D4	false	EX0524	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N				
41	D5	false	EX0524	B	UNKNOWN	FAM	NFQ-MGB	28.365	28.585	0.310								false	0.010	true	3	27	Amp		0.743	Y	N	N	N	N	N	N				
42	D6	false	EX0524	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
42	D6	false	EX0524	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
43	D7	false	EX0477	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	18	No Amp		0.000	Y	N	N	N	N	N	N				
44	D8	false	EX0477	B	UNKNOWN	FAM	NFQ-MGB	27.122	27.365	0.343								false	0.010	true	3	26	Amp		0.727	Y	N	N	N	N	N	N				
45	D9	false	EX0477	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
45	D9	false	EX0477	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
46	D10	false	EX0482	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	11	No Amp		0.000	Y	N	N	N	N	N	N				
47	D11	false	EX0482	B	UNKNOWN	FAM	NFQ-MGB	Undetermined	15.276									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
48	D12	false	EX0482	C	UNKNOWN	VIC	NFQ-MGB	22.211	22.361	0.212								false	0.010	true	3	21	Amp		0.932	N	N	N	N	N	N	N				
48	D12	false	EX0482	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	32.351									false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
49	E1	false	EX0405	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
50	E2	false	EX0405	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
51	E3	false	EX0405	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
51	E3	false	EX0405	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
52	E4	false	EX0468	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N				
53	E5	false	EX0468	B	UNKNOWN	FAM	NFQ-MGB	30.886	30.750	0.192								false	0.010	true	3	30	Amp		0.901	N	N	N	N	N	N	N				
54	E6	false	EX0468	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
54	E6	false	EX0468	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	N				
55	E7	false	EX0479	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	29	No Amp		0.000	Y	N	N	N	N	N	N				
56	E8	false	EX0479	B	UNKNOWN	FAM	NFQ-MGB	34.388	35.534	1.621								false	0.010	true	3	32	Amp		0.774	Y	N	Y	N	N	N	N				
57	E9	false	EX0479	C	UNKNOWN	VIC	NFQ-MGB	24.304	24.490	0.263								false	0.010	true	3	23	Amp		0.935	N	N	N	N	N	N	N				
57	E9	false	EX0479	D	UNKNOWN	FAM	NFQ-MGB	26.490	26.695	0.289								false	0.010	true	3	25	Amp		0.366	Y	N	N	N	N	N	N				
58	E10	false	NTC	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
59	E11	false	NTC	B	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	Y	N	N				
